"","acao","desp_paga","dot_atu","PLOA","Custeio","Dívida","Investimento","Pessoal","Direta","Transferencia","Fontes de Emissão","Fontes próprias","Fontes Tesouro","orgao_valor_1","orgao_valor_2","orgao_valor_3","orgao_valor_4","orgao_valor_5","orgao_valor_6","tituloacao","gnd_predominante","textoacao","2021","2020","2019","2018","2017","2016"
"286","116X",22707.41,5236437,3157622,0,0,1,0,1,0,0,0,1,"39000 - Ministério da Infraestrutura__3157622",NA,NA,NA,NA,NA,"Construção da Ferrovia Norte-Sul - Palmas/TO - Uruaçu/GO - EF-151","Investimento","CONSTRUCAO DA FERROVIA NORTE-SUL - PALMAS/TO - URUACU/GO - EF-151",3157622,3362155,9600000,NA,NA,2.3e+07
"287","11AA",84473.84,968457,39168011,0,0,1,0,1,0,0,0.0153186231488752,0.984681376851125,"53000 - Ministério do Desenvolvimento Regional__39168011",NA,NA,NA,NA,NA,"Construção da Barragem Fronteiras no Estado do Ceará","Investimento","CONSTRUCAO DA BARRAGEM FRONTEIRAS NO ESTADO DO CEARA",39168011,5.8e+07,64500000,18157996,6e+06,8e+06
"288","11H1",3807238.55,14152418,24500000,0,0,1,0,1,0,0,0,1,"39000 - Ministério da Infraestrutura__24500000",NA,NA,NA,NA,NA,"Adequação de Ramal Ferroviário em Barra Mansa - na EF-222/RJ","Investimento","ADEQUACAO DE RAMAL FERROVIARIO EM BARRA MANSA - NA EF-222/RJ",24500000,12300000,5e+06,6841092,10300000,1.7e+07
"289","11IM",2068771.31,3636000,3e+06,0,0,1,0,1,0,0,0,1,"12000 - Justiça Federal__3e+06",NA,NA,NA,NA,NA,"Reforma dos Anexos I e II da Seção Judiciária do Rio de Janeiro - RJ","Investimento","REFORMA DOS ANEXOS I E II DA SECAO JUDICIARIA DO RIO DE JANEIRO - RJ",3e+06,4e+06,4e+06,3750000,3e+06,2e+06
"290","11JL",246857.27,260000,1157168,0,0,1,0,1,0,0,0,1,"12000 - Justiça Federal__1157168",NA,NA,NA,NA,NA,"Construção do Edifício-Sede da Justiça Federal em Foz do Iguaçu - PR","Investimento","CONSTRUCAO DO EDIFICIO-SEDE DA JUSTICA FEDERAL EM FOZ DO IGUACU - PR",1157168,1500000,1140000,1.2e+07,13856436,9e+06
"291","11KR",246916.75,1.4e+07,1.3e+07,0,0,1,0,1,0,0,0,1,"12000 - Justiça Federal__1.3e+07",NA,NA,NA,NA,NA,"Construção do Edifício-Sede da Justiça Federal em Blumenau - SC","Investimento","CONSTRUCAO DO EDIFICIO-SEDE DA JUSTICA FEDERAL EM BLUMENAU - SC",1.3e+07,1.3e+07,8e+05,1e+07,8e+06,6e+06
"292","11RQ",62658.99,672107,1100000,0,0,1,0,1,0,0,0,1,"12000 - Justiça Federal__1100000",NA,NA,NA,NA,NA,"Reforma do Fórum das Execuções Fiscais - SP","Investimento","REFORMA DO FORUM DAS EXECUCOES FISCAIS - SP",1100000,1e+06,1500000,1490000,1670000,1500000
"293","11RV",1866695.14,2016802,1e+07,0,0,1,0,1,0,0,0,1,"12000 - Justiça Federal__1e+07",NA,NA,NA,NA,NA,"Construção do Edifício-Sede do Tribunal Regional Federal da 1ª Região em Brasília - DF","Investimento","CONSTRUCAO DO EDIFICIO-SEDE DO TRIBUNAL REGIONAL FEDERAL DA 1. REGIAO EM BRASILIA - DF",1e+07,1.5e+07,3e+07,55500000,2.8e+07,5e+07
"294","11SD",5346332.01,15500000,7500000,0,0,1,0,1,0,0,0,1,"34000 - Ministério Público da União__7500000",NA,NA,NA,NA,NA,"Construção do Edifício-Sede da Procuradoria da República em Belém - PA","Investimento","CONSTRUCAO DO EDIFICIO-SEDE DA PROCURADORIA DA REPUBLICA EM BELEM - PA",7500000,3e+06,NA,3500000,5e+05,5e+05
"295","11ZD",0,3941239,1644500,0,0,1,0,1,0,0,0,1,"39000 - Ministério da Infraestrutura__1644500",NA,NA,NA,NA,NA,"Construção da Ferrovia Norte-Sul - Ouroeste/SP - Estrela D´Oeste/SP - EF-151","Investimento","CONSTRUCAO DA FERROVIA NORTE-SUL - OUROESTE/SP - ESTRELA D?OESTE/SP - EF-151",1644500,4732818,11197500,32855244,63673201,116801481
"296","11ZE",11635403.45,23040180,21440355,0,0,1,0,1,0,0,0,1,"39000 - Ministério da Infraestrutura__21440355",NA,NA,NA,NA,NA,"Construção da Ferrovia de Integração Oeste-Leste - Ilhéus/BA - Caetité/BA - EF-334","Investimento","CONSTRUCAO DA FERROVIA DE INTEGRACAO OESTE-LESTE - ILHEUS/BA - CAETITE/BA - EF-334",21440355,58411330,133327000,79032615,150100000,405058943
"297","11ZH",2269961.55,7272211,4672837,0,0,1,0,1,0,0,0,1,"39000 - Ministério da Infraestrutura__4672837",NA,NA,NA,NA,NA,"Construção da Ferrovia Norte-Sul - Ouroverde de Goiás/GO - São Simão/GO - EF-151","Investimento","CONSTRUCAO DA FERROVIA NORTE-SUL - OUROVERDE DE GOIAS/GO - SAO SIMAO/GO - EF-151",4672837,2556571,2.5e+07,113868176,400154964,494532824
"298","11ZI",2278716,2278716,1469366,0,0,1,0,1,0,0,0,1,"39000 - Ministério da Infraestrutura__1469366",NA,NA,NA,NA,NA,"Construção da Ferrovia Norte-Sul - Santa Vitória/MG - Iturama/MG - EF-151","Investimento","CONSTRUCAO DA FERROVIA NORTE-SUL - SANTA VITORIA/MG - ITURAMA/MG - EF-151",1469366,2860310,4e+06,152484339,97888115,176944839
"299","1214",23314733.54,28156613,21200000,0,0,1,0,1,0,0,0,1,"39000 - Ministério da Infraestrutura__21200000",NA,NA,NA,NA,NA,"Adequação de Trecho Rodoviário - Rio Grande - Pelotas - na BR-392/RS","Investimento","ADEQUACAO DE TRECHO RODOVIARIO - RIO GRANDE - PELOTAS - NA BR-392/RS",21200000,2.9e+07,3.5e+07,13502155,NA,17400000
"300","122X",8029996.45,15798502,1.7e+07,1,0,0,0,1,0,0.456235882352941,0,0.543764117647059,"39000 - Ministério da Infraestrutura__9243990","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__7756010",NA,NA,NA,NA,"Implantação do Sistema de Atendimento Portuário Unificado","Custeio","IMPLANTACAO DO SISTEMA DE ATENDIMENTO PORTUARIO UNIFICADO",1.7e+07,17100080,1e+07,26151637,20662000,24770879
"301","123B",85785818.892954,159767727,4e+08,0,0,1,0,1,0,0,0,1,"52000 - Ministério da Defesa__4e+08",NA,NA,NA,NA,NA,"Desenvolvimento de Cargueiro Tático Militar de 10 a 20 Toneladas (Projeto KC-X)","Investimento","DESENVOLVIMENTO DE CARGUEIRO TATICO MILITAR DE 10 A 20 TONELADAS (PROJETO KC-X)",4e+08,166430000,5e+07,379950947,552186530,5.77e+08
"302","123G",409143557.9357,434078411,366526697,0,0,1,0,1,0,0,0,1,"52000 - Ministério da Defesa__366526697",NA,NA,NA,NA,NA,"Implantação de Estaleiro e Base Naval para Construção e Manutenção de Submarinos Convencionais e Nucleares","Investimento","IMPLANTACAO DE ESTALEIRO E BASE NAVAL PARA CONSTRUCAO E MANUTENCAO DE SUBMARINOS CONVENCIONAIS E NUCLEARES",366526697,325012354,3.3e+08,423881000,614401000,394538166
"303","123H",301623514.449616,321895544,646847535,0,0,1,0,1,0,0,0,1,"52000 - Ministério da Defesa__646847535",NA,NA,NA,NA,NA,"Construção de Submarino de Propulsão Nuclear","Investimento","CONSTRUCAO DE SUBMARINO DE PROPULSAO NUCLEAR",646847535,327612997,258621161,190078000,364599000,262400349
"304","123I",670641647.228982,628180453,628083569,0,0,1,0,1,0,0,0,1,"52000 - Ministério da Defesa__628083569",NA,NA,NA,NA,NA,"Construção de Submarinos Convencionais","Investimento","CONSTRUCAO DE SUBMARINOS CONVENCIONAIS",628083569,726874649,374135499,616041000,1.062e+09,495661485
"305","123J",311988599.115482,324471616,226303942,0.388992477205722,0,0.611007522794278,0,1,0,0.307810718560086,0,0.692189281439914,"52000 - Ministério da Defesa__156645163","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__69658779",NA,NA,NA,NA,"Aquisição de Helicópteros para Emprego das Forças Armadas","Investimento","AQUISICAO DE HELICOPTEROS PARA EMPREGO DAS FORCAS ARMADAS",226303942,317500000,258151420,304638280,4.87e+08,467400000
"306","123S",0,0,8e+05,0,0,1,0,1,0,0,0,1,"39000 - Ministério da Infraestrutura__8e+05",NA,NA,NA,NA,NA,"Construção de Anel Rodoviário em Campo Grande - nas BRs 060/163/262/MS","Investimento","CONSTRUCAO DE ANEL RODOVIARIO EM CAMPO GRANDE - NAS BRS 060/163/262/MS",8e+05,NA,NA,900144,NA,5e+05
"307","123U",0,5e+06,12300000,0,0,1,0,1,0,0,0,1,"39000 - Ministério da Infraestrutura__12300000",NA,NA,NA,NA,NA,"Adequação de Trecho Rodoviário - Entroncamento BR-116 (p/Guaíba) - Entroncamento BR-471 (Pântano Grande) - na BR-290/RS","Investimento","ADEQUACAO DE TRECHO RODOVIARIO - ENTRONCAMENTO BR-116 (P/GUAIBA) - ENTRONCAMENTO BR-471 (PANTANO GRANDE) - NA BR-290/RS",12300000,NA,7171821,NA,NA,5e+05
"308","124G",195163093.12,386341500,482224973,0,0,1,0,1,0,0,0,1,"39000 - Ministério da Infraestrutura__482224973",NA,NA,NA,NA,NA,"Construção da Ferrovia de Integração Oeste-Leste - Caetité/BA - Barreiras/BA - EF-334","Investimento","CONSTRUCAO DA FERROVIA DE INTEGRACAO OESTE-LESTE - CAETITE/BA - BARREIRAS/BA - EF-334",482224973,308311448,3.01e+08,90014368,1e+08,3.06e+08
"309","125F",1146206.98,7927207,8074000,0.962843695813723,0,0.0371563041862769,0,1,0,0,0,1,"32000 - Ministério de Minas e Energia__8074000",NA,NA,NA,NA,NA,"Implementação da Recuperação Ambiental da Bacia Carbonífera de Santa Catarina","Custeio","IMPLEMENTACAO DA RECUPERACAO AMBIENTAL DA BACIA CARBONIFERA DE SANTA CATARINA",8074000,1e+07,27200000,37657110,28473803,35930753
"310","125H",0,0,50000,1,0,0,0,1,0,0,0,1,"36000 - Ministério da Saúde__50000",NA,NA,NA,NA,NA,"Construção do Complexo Integrado do Instituto Nacional de Câncer - INCA","Custeio","CONSTRUCAO DO COMPLEXO INTEGRADO DO INSTITUTO NACIONAL DE CANCER - INCA",50000,50000,6e+05,6e+05,6e+05,5.6e+07
"311","127G",4632002.61,45796219,6e+06,0,0,1,0,1,0,0,0,1,"39000 - Ministério da Infraestrutura__6e+06",NA,NA,NA,NA,NA,"Construção de Terminais Fluviais","Investimento","CONSTRUCAO DE TERMINAIS FLUVIAIS",6e+06,3.3e+07,58002030,56285984,59101000,61130000
"312","12DN",124642.32,134365,250000,0,0,1,0,1,0,0,0,1,"34000 - Ministério Público da União__250000",NA,NA,NA,NA,NA,"Construção do Edifício-Sede da Procuradoria da Justiça Militar no Rio de Janeiro - RJ","Investimento","CONSTRUCAO DO EDIFICIO-SEDE DA PROCURADORIA DA JUSTICA MILITAR NO RIO DE JANEIRO - RJ",250000,170000,3700000,5e+05,8e+06,3863501
"313","12EA",1565297.52,4926292,3500000,0.942857142857143,0,0.0571428571428571,0,1,0,0.570889714285714,0,0.429110285714286,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__1998114","24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações__1501886",NA,NA,NA,NA,"Reformas de Edificações do Ministério da Ciência, Tecnologia e Inovações","Custeio","REFORMAS DE EDIFICACOES DO MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACOES",3500000,5300000,593666,356200,6e+05,1800000
"314","12EP",81772199.65,134850271,117050000,0,0,1,0,1,0,0,0,1,"53000 - Ministério do Desenvolvimento Regional__117050000",NA,NA,NA,NA,NA,"Integração do Rio São Francisco com as Bacias do Nordeste Setentrional (Eixo Leste)","Investimento","INTEGRACAO DO RIO SAO FRANCISCO COM AS BACIAS DO NORDESTE SETENTRIONAL (EIXO LESTE)",117050000,1.5e+08,1.1e+08,30396174,176756102,5.9e+08
"315","12F2",0,0,2.1e+07,0,0,1,0,1,0,0,0,1,"01000 - Camara dos Deputados__2.1e+07",NA,NA,NA,NA,NA,"Reforma dos Imóveis Funcionais Destinados à Moradia dos Deputados Federais","Investimento","REFORMA DOS IMOVEIS FUNCIONAIS DESTINADOS A MORADIA DOS DEPUTADOS FEDERAIS",2.1e+07,2.1e+07,1.5e+07,1.6e+07,1e+07,1.5e+07
"316","12FT",3582.2,8166160,5166160,0,0,1,0,1,0,0,0,1,"53000 - Ministério do Desenvolvimento Regional__5166160",NA,NA,NA,NA,NA,"Implantação do Projeto Público de Irrigação Marrecas/Jenipapo com 1.000 ha no Estado do Piauí","Investimento","IMPLANTACAO DO PROJETO PUBLICO DE IRRIGACAO MARRECAS/JENIPAPO COM 1.000 HA NO ESTADO DO PIAUI",5166160,5800000,NA,3432632,6700000,9e+06
"317","12G6",912806.59,33500000,1.4e+07,0,0,1,0,0,1,0,0,1,"53000 - Ministério do Desenvolvimento Regional__1.4e+07",NA,NA,NA,NA,NA,"Recuperação de Reservatórios Estratégicos para a Integração do Rio São Francisco","Investimento","RECUPERACAO DE RESERVATORIOS ESTRATEGICOS PARA A INTEGRACAO DO RIO SAO FRANCISCO",1.4e+07,3e+07,59500000,6.6e+07,1.2e+08,1e+06
"318","12G7",97098327,97098327,61050000,0,0,1,0,0,1,0,0,1,"53000 - Ministério do Desenvolvimento Regional__61050000",NA,NA,NA,NA,NA,"Construção do Canal Adutor Vertente Litorânea com 112,5 km no Estado da Paraíba","Investimento","CONSTRUCAO DO CANAL ADUTOR VERTENTE LITORANEA COM 112,5 KM NO ESTADO DA PARAIBA",61050000,4e+07,9e+07,222449863,2e+08,8e+07
"319","12JL",85770198.47,104028315,33500000,0,0,1,0,1,0,0,0,1,"39000 - Ministério da Infraestrutura__33500000",NA,NA,NA,NA,NA,"Adequação de Trecho Rodoviário - Cascavel - Guaíra - na BR-163/PR","Investimento","ADEQUACAO DE TRECHO RODOVIARIO - CASCAVEL - GUAIRA - NA BR-163/PR",33500000,8e+07,9e+07,45007184,NA,41900000
"320","12JP",0,0,5e+06,0,0,1,0,1,0,0,0,1,"39000 - Ministério da Infraestrutura__5e+06",NA,NA,NA,NA,NA,"Apoio à Construção do Rodoanel - Trecho Norte/SP","Investimento","APOIO A CONSTRUCAO DO RODOANEL - TRECHO NORTE/SP",5e+06,6e+07,7.5e+07,135021552,3e+08,1.3e+08
"321","12KF",2003505.01,15047449,16400000,0,0,1,0,1,0,0,0,1,"39000 - Ministério da Infraestrutura__16400000",NA,NA,NA,NA,NA,"Adequação de Trecho Rodoviário - São Miguel do Oeste - Divisa SC/PR - na BR-163/SC","Investimento","ADEQUACAO DE TRECHO RODOVIARIO - SAO MIGUEL DO OESTE - DIVISA SC/PR - NA BR-163/SC",16400000,NA,1e+06,2700431,NA,15900000
"322","12KG",44143971.95,56071073,36800000,0,0,1,0,1,0,0,0,1,"39000 - Ministério da Infraestrutura__36800000",NA,NA,NA,NA,NA,"Adequação de Travessia Urbana em Santa Maria - na BR-158/287/RS","Investimento","ADEQUACAO DE TRAVESSIA URBANA EM SANTA MARIA - NA BR-158/287/RS",36800000,2.6e+07,6.5e+07,31505028,39860000,27100000
"323","12KP",2239207.72,6587853,5e+06,1,0,0,0,1,0,0.456236,0,0.543764,"39000 - Ministério da Infraestrutura__2718820","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__2281180",NA,NA,NA,NA,"Implantação do Sistema de Carga Inteligente e Cadeia Logística Inteligente","Custeio","IMPLANTACAO DO SISTEMA DE CARGA INTELIGENTE E CADEIA LOGISTICA INTELIGENTE",5e+06,7059872,6400000,22330889,1e+07,8030000
"324","12KR",0,0,2e+07,0.25,0,0.75,0,1,0,0.11405895,0,0.88594105,"39000 - Ministério da Infraestrutura__17718821","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__2281179",NA,NA,NA,NA,"Implantação do Sistema de Gestão de Tráfego de Navios","Investimento","IMPLANTACAO DO SISTEMA DE GESTAO DE TRAFEGO DE NAVIOS",2e+07,NA,NA,10801724,7080000,50000
"325","12KU",44393386.52,7.5e+07,2.22e+08,0,0,1,0,0,1,0,0,1,"26000 - Ministério da Educação__2.22e+08",NA,NA,NA,NA,NA,"Apoio à implantação de escolas para educação infantil","Investimento","APOIO A IMPLANTACAO DE ESCOLAS PARA EDUCACAO INFANTIL",2.22e+08,1e+07,3e+07,2e+08,7.07e+08,5.5e+08
"326","12OB",6859913.1,62279748,25234095,0.83475194969346,0,0.16524805030654,0,1,0,0.660532743496448,0.0980457194918225,0.24142153701173,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__16667946","53000 - Ministério do Desenvolvimento Regional__8566149",NA,NA,NA,NA,"Gestão de Projetos Públicos de Irrigação","Custeio","GESTAO DE PROJETOS PUBLICOS DE IRRIGACAO",25234095,31101252,9875000,10625000,9705000,14415000
"327","12P1",650746.96,792768,1201352,0.761934886694324,0,0.238065113305676,0,1,0,0.461342720534864,0,0.538657279465136,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações__647117","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__554235",NA,NA,NA,NA,"Implantação do Reator Multipropósito Brasileiro","Custeio","IMPLANTACAO DO REATOR MULTIPROPOSITO BRASILEIRO",1201352,9e+05,11180962,72344824,1.08e+08,77001000
"328","12R9",0,2e+05,2e+06,0,0,1,0,1,0,0,0,1,"12000 - Justiça Federal__2e+06",NA,NA,NA,NA,NA,"Construção do Edifício II da Seção Judiciária em Salvador - BA (Juizados Especiais Federais)","Investimento","CONSTRUCAO DO EDIFICIO II DA SECAO JUDICIARIA EM SALVADOR - BA (JUIZADOS ESPECIAIS FEDERAIS)",2e+06,NA,2500000,NA,1e+06,454433
"329","12RB",1949890.1,1950000,2e+06,0,0,1,0,1,0,0,0,1,"12000 - Justiça Federal__2e+06",NA,NA,NA,NA,NA,"Reforma do Edifício-Sede da Seção Judiciária em Belém - PA","Investimento","REFORMA DO EDIFICIO-SEDE DA SECAO JUDICIARIA EM BELEM - PA",2e+06,1500000,NA,1408512,8e+05,1e+06
"330","12RE",45159.94,954906,710254,0,0,1,0,1,0,0,0,1,"12000 - Justiça Federal__710254",NA,NA,NA,NA,NA,"Construção do Edifício-Sede II Da Seção Judiciária em Goiânia - GO","Investimento","CONSTRUCAO DO EDIFICIO-SEDE II DA SECAO JUDICIARIA EM GOIANIA - GO",710254,2e+06,NA,NA,NA,NA
"331","12S9",64445.81,202774,2e+06,0,0,1,0,1,0,0,0,1,"12000 - Justiça Federal__2e+06",NA,NA,NA,NA,NA,"Reforma do Fórum Federal Criminal e Previdenciário de São Paulo - SP","Investimento","REFORMA DO FORUM FEDERAL CRIMINAL E PREVIDENCIARIO DE SAO PAULO - SP",2e+06,1e+06,2e+06,3e+06,1950800,6e+06
"332","12SI",197732.3,325000,180700,0,0,1,0,1,0,0,0,1,"12000 - Justiça Federal__180700",NA,NA,NA,NA,NA,"Reforma do Edifício-Sede da Justiça Federal em Itabaiana - SE","Investimento","REFORMA DO EDIFICIO-SEDE DA JUSTICA FEDERAL EM ITABAIANA - SE",180700,250000,370000,NA,420785,8e+05
"333","12SK",75102.64,140047,742000,0,0,1,0,1,0,0,0,1,"12000 - Justiça Federal__742000",NA,NA,NA,NA,NA,"Reforma do Edifício-Sede da Seção Judiciária em Maceió - AL","Investimento","REFORMA DO EDIFICIO-SEDE DA SECAO JUDICIARIA EM MACEIO - AL",742000,200067,2500000,1704011,2e+06,1523000
"334","12SN",0,54169,250000,0,0,1,0,1,0,0,0,1,"12000 - Justiça Federal__250000",NA,NA,NA,NA,NA,"Reforma do Edifício-Sede da Justiça Federal em Arapiraca - AL","Investimento","REFORMA DO EDIFICIO-SEDE DA JUSTICA FEDERAL EM ARAPIRACA - AL",250000,77383,NA,NA,65000,NA
"335","12SO",1593597.43,1615714,2247951,0,0,1,0,1,0,0,0,1,"12000 - Justiça Federal__2247951",NA,NA,NA,NA,NA,"Construção de Edifício-Sede da Justiça Federal em Santana do Ipanema - AL","Investimento","CONSTRUCAO DE EDIFICIO-SEDE DA JUSTICA FEDERAL EM SANTANA DO IPANEMA - AL",2247951,1488980,NA,NA,NA,NA
"336","132J",0,0,1e+06,0,0,1,0,1,0,0,0,1,"15000 - Justiça do Trabalho__1e+06",NA,NA,NA,NA,NA,"Construção do Edifício-Sede do Fórum Trabalhista de Resende - RJ","Investimento","CONSTRUCAO DO EDIFICIO-SEDE DO FORUM TRABALHISTA DE RESENDE - RJ",1e+06,NA,NA,NA,NA,NA
"337","133I",99299.3199999999,1020000,6e+05,0,0,1,0,1,0,0,0,1,"15000 - Justiça do Trabalho__6e+05",NA,NA,NA,NA,NA,"Adaptação do Edifício-Sede do Fórum Trabalhista de Belo Horizonte - MG","Investimento","ADAPTACAO DO EDIFICIO-SEDE DO FORUM TRABALHISTA DE BELO HORIZONTE - MG",6e+05,1020000,2e+06,5e+06,1e+07,8e+06
"338","134A",0,0,3e+06,0,0,1,0,1,0,0,0,1,"15000 - Justiça do Trabalho__3e+06",NA,NA,NA,NA,NA,"Construção do Edifício-Anexo ao Fórum Trabalhista de São Leopoldo - RS","Investimento","CONSTRUCAO DO EDIFICIO-ANEXO AO FORUM TRABALHISTA DE SAO LEOPOLDO - RS",3e+06,NA,NA,2500000,1e+06,1100000
"339","134B",0,0,3e+06,0,0,1,0,1,0,0,0,1,"15000 - Justiça do Trabalho__3e+06",NA,NA,NA,NA,NA,"Construção do Edifício-Anexo ao Fórum Trabalhista de Rio Grande - RS","Investimento","CONSTRUCAO DO EDIFICIO-ANEXO AO FORUM TRABALHISTA DE RIO GRANDE - RS",3e+06,NA,NA,9e+06,NA,2300000
"340","134D",36204.29,390000,1e+05,0,0,1,0,1,0,0,0,1,"15000 - Justiça do Trabalho__1e+05",NA,NA,NA,NA,NA,"Construção do Edifício-Sede do Fórum Trabalhista de Novo Hamburgo - RS","Investimento","CONSTRUCAO DO EDIFICIO-SEDE DO FORUM TRABALHISTA DE NOVO HAMBURGO - RS",1e+05,3e+05,1300000,6e+06,5e+06,7e+06
"341","134F",0,0,3e+06,0,0,1,0,1,0,0,0,1,"15000 - Justiça do Trabalho__3e+06",NA,NA,NA,NA,NA,"Construção do Edifício-Sede do Fórum Trabalhista de Santa Rosa - RS","Investimento","CONSTRUCAO DO EDIFICIO-SEDE DO FORUM TRABALHISTA DE SANTA ROSA - RS",3e+06,NA,2e+06,4e+06,1300000,1060000
"342","136Y",0,0,1400000,0,0,1,0,1,0,0,0,1,"14000 - Justiça Eleitoral__1400000",NA,NA,NA,NA,NA,"Ampliação do Depósito de Armazenamento de Urnas no Município de Natal - RN","Investimento","AMPLIACAO DO DEPOSITO DE ARMAZENAMENTO DE URNAS NO MUNICIPIO DE NATAL - RN",1400000,NA,NA,NA,NA,NA
"343","1393",1103310.6759,13768410,1.6e+07,0,0,1,0,1,0,0,0,1,"32000 - Ministério de Minas e Energia__1.6e+07",NA,NA,NA,NA,NA,"Implantação da Usina de Enriquecimento de Urânio em Resende - RJ","Investimento","IMPLANTACAO DA USINA DE ENRIQUECIMENTO DE URANIO EM RESENDE - RJ",1.6e+07,1e+07,52782500,30591000,5.4e+07,26294582
"344","13C1",0,50000,7e+06,0,0,1,0,1,0,0,0,1,"34000 - Ministério Público da União__7e+06",NA,NA,NA,NA,NA,"Construção do Edifício-Sede da Promotoria de Justiça de Brazlândia - DF","Investimento","CONSTRUCAO DO EDIFICIO-SEDE DA PROMOTORIA DE JUSTICA DE BRAZLANDIA - DF",7e+06,50000,NA,5e+05,1e+05,1e+06
"345","13CL",1.5e+08,1.5e+08,93916267,1,0,0,0,0,1,0.605488919187983,0,0.394511080812017,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__56865259","24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações__37051008",NA,NA,NA,NA,"Construção de Fonte de Luz Síncrotron de 4ª geração - SIRIUS, por Organização Social (Lei nº 9.637, de 15 de maio de 1998)","Custeio","CONSTRUCAO DE FONTE DE LUZ SINCROTRON DE 4. GERACAO - SIRIUS, POR ORGANIZACAO SOCIAL (LEI N. 9.637, DE 15 DE MAIO DE 1998)",93916267,150100000,2.7e+08,218410903,365463336,275530000
"346","13CM",129166.65,962364,962364,0.992282545897394,0,0.00771745410260567,0,1,0,0.600816323137607,0,0.399183676862393,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__578204","24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações__384160",NA,NA,NA,NA,"Implantação do Repositório de Rejeitos de Baixo e Médio Nível - RBMN","Custeio","IMPLANTACAO DO REPOSITORIO DE REJEITOS DE BAIXO E MEDIO NIVEL - RBMN",962364,1020000,1020000,588311,601000,601000
"347","13CN",0,29702,47181,1,0,0,0,1,0,0.605497975880121,0,0.394502024119879,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__28568","24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações__18613",NA,NA,NA,NA,"Implantação do Laboratório de Fusão Nuclear","Custeio","IMPLANTACAO DO LABORATORIO DE FUSAO NUCLEAR",47181,1e+05,1e+05,250000,51000,51000
"348","13CP",804713.84,5384207,4200000,0,0,1,0,1,0,0,0,1,"32000 - Ministério de Minas e Energia__4200000",NA,NA,NA,NA,NA,"Ampliação da Unidade de Concentrado de Urânio em Caetité no Estado da Bahia","Investimento","AMPLIACAO DA UNIDADE DE CONCENTRADO DE URANIO EM CAETITE NO ESTADO DA BAHIA",4200000,5e+06,2e+07,25823741,38536664,50900000
"349","13DB",693170.01,20654398,24164087,0.00827649726637717,0,0.991723502733623,0,1,0,0.00654078095315581,0,0.993459219046844,"52000 - Ministério da Defesa__24006035","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__158052",NA,NA,NA,NA,"Aquisição de Sistemas de Artilharia Antiaérea","Investimento","AQUISICAO DE SISTEMAS DE ARTILHARIA ANTIAEREA",24164087,25859359,3e+07,4.2e+07,6.1e+07,48780000
"350","13DW",91291211.79,1.02e+08,1.52e+08,0,0,1,0,1,0,0,0,1,"36000 - Ministério da Saúde__1.52e+08",NA,NA,NA,NA,NA,"Construção do Centro de Processamento Final de Imunobiológicos","Investimento","CONSTRUCAO DO CENTRO DE PROCESSAMENTO FINAL DE IMUNOBIOLOGICOS",1.52e+08,1.72e+08,1.72e+08,1e+08,3e+08,3e+08
"351","13E4",285369.27,1097417,1.5e+07,0.893333333333333,0,0.106666666666667,0,1,0,0,0,1,"32000 - Ministério de Minas e Energia__1.5e+07",NA,NA,NA,NA,NA,"Projeto de Assistência Técnica aos Setores de Energia e Mineral - META II","Custeio","PROJETO DE ASSISTENCIA TECNICA AOS SETORES DE ENERGIA E MINERAL - META II",1.5e+07,8e+06,14500000,20405326,20779044,26771601
"352","13FR",0,124605,1450000,0,0,1,0,1,0,0,0,1,"12000 - Justiça Federal__1450000",NA,NA,NA,NA,NA,"Reforma do Fórum Federal de Ribeirão Preto - SP","Investimento","REFORMA DO FORUM FEDERAL DE RIBEIRAO PRETO - SP",1450000,550000,4e+05,3453069,2625300,2e+06
"353","13X5",14000585.55,26362025,1.5e+07,0,0,1,0,1,0,0,0,1,"39000 - Ministério da Infraestrutura__1.5e+07",NA,NA,NA,NA,NA,"Adequação de Travessia Urbana em Imperatriz - na BR-010/MA","Investimento","ADEQUACAO DE TRAVESSIA URBANA EM IMPERATRIZ - NA BR-010/MA",1.5e+07,NA,1e+07,1800287,6600000,5e+05
